timestamp,flex_value,label
2025-06-18T15:09:35.389Z,12,good
2025-06-18T15:09:38.310Z,9,good
2025-06-18T15:11:44.300Z,12,good
2025-06-18T15:11:56.299Z,9,good
2025-06-18T15:13:18.307Z,14,good
2025-06-18T15:59:58.470Z,21,good
2025-06-18T15:59:59.412Z,49,good
2025-06-18T16:00:00.417Z,51,good
2025-06-18T16:00:01.413Z,43,good
2025-06-18T16:00:02.415Z,48,good
2025-06-18T16:00:03.411Z,28,good
2025-06-18T16:00:04.411Z,46,good
2025-06-18T16:00:05.411Z,45,good
2025-06-18T16:00:06.432Z,45,good
2025-06-18T16:00:07.412Z,38,good
2025-06-18T16:00:08.412Z,42,good
2025-06-18T16:00:09.427Z,44,good
2025-06-18T16:00:10.416Z,37,good
2025-06-18T16:00:11.412Z,38,good
2025-06-18T16:00:12.412Z,42,good
2025-06-18T16:00:13.417Z,42,good
2025-06-18T16:00:14.412Z,41,good
2025-06-18T16:00:15.466Z,39,good
2025-06-18T16:00:16.412Z,33,good
2025-06-18T16:00:17.415Z,34,good
2025-06-18T16:00:18.412Z,42,good
2025-06-18T16:00:19.414Z,41,good
2025-06-18T16:00:20.416Z,41,good
2025-06-18T16:00:21.474Z,41,good
2025-06-18T16:00:22.498Z,41,good
2025-06-18T16:00:23.414Z,40,good
2025-06-18T16:00:24.414Z,40,good
2025-06-18T16:00:25.411Z,41,good
2025-06-18T16:00:26.423Z,36,good
2025-06-18T16:00:27.433Z,41,good
2025-06-18T16:00:28.426Z,40,good
2025-06-18T16:00:29.410Z,36,good
2025-06-18T16:00:30.416Z,36,good
2025-06-18T16:00:31.417Z,36,good
2025-06-18T16:00:32.410Z,40,good
2025-06-18T16:00:33.412Z,40,good
2025-06-18T16:00:34.414Z,40,good
2025-06-18T16:00:35.412Z,37,good
2025-06-18T16:00:36.412Z,43,good
2025-06-18T16:00:37.415Z,40,good
2025-06-18T16:00:38.412Z,41,good
2025-06-18T16:00:39.418Z,41,good
2025-06-18T16:00:40.412Z,37,good
2025-06-18T16:00:41.414Z,40,good
2025-06-18T16:00:42.410Z,41,good
2025-06-18T16:00:44.418Z,38,good
2025-06-18T16:00:44.445Z,41,good
2025-06-18T16:00:45.441Z,40,good
2025-06-18T16:00:46.460Z,40,good
2025-06-18T16:00:47.485Z,40,good
2025-06-18T16:00:48.523Z,37,good
2025-06-18T16:00:49.443Z,41,good
2025-06-18T16:00:50.457Z,40,good
2025-06-18T16:01:20.419Z,21,good
2025-06-18T16:01:21.419Z,21,good
2025-06-18T16:01:22.414Z,21,good
2025-06-18T16:01:23.527Z,21,good
2025-06-18T16:01:24.413Z,21,good
2025-06-18T16:01:25.412Z,21,good
2025-06-18T16:01:26.415Z,21,good
2025-06-18T16:01:27.414Z,21,good
2025-06-18T16:01:28.416Z,21,good
2025-06-18T16:01:29.413Z,21,good
2025-06-18T16:01:30.468Z,21,good
2025-06-18T16:01:31.414Z,21,good
2025-06-18T16:01:32.415Z,21,good
2025-06-18T16:01:33.415Z,21,good
2025-06-18T16:01:34.413Z,21,good
2025-06-18T16:01:35.414Z,20,good
2025-06-18T16:01:36.432Z,12,good
2025-06-18T16:01:37.416Z,18,good
2025-06-18T16:01:38.415Z,17,good
2025-06-18T16:01:39.413Z,15,good
2025-06-18T16:01:40.414Z,14,good
2025-06-18T16:01:41.416Z,8,good
2025-06-18T16:01:42.412Z,8,good
2025-06-18T16:01:43.416Z,8,good
2025-06-18T16:01:44.413Z,8,good
2025-06-18T16:01:45.415Z,18,good
2025-06-18T16:01:46.412Z,22,good
2025-06-18T16:01:47.422Z,24,good
2025-06-18T16:01:48.516Z,24,good
2025-06-18T16:01:49.421Z,24,good
2025-06-18T16:01:50.413Z,21,good
